M-D,M,D,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
11-07,11,7,0.0,0.0,0.03050001647,0.005100002754000001,0.010200005508000001,0.0,0.017800009611999998,0.022900012366000002,0.053300028782,0.010200005508000001,0.022900012366000002,0.073700039798,0.0,0.03300001782,0.010200005508000001,0.0,0.0,0.0025500013770000003,0.0193200104328,0.010200005508000001,0.026700014418,0.045180024397199994,0.073700039798,2023-11-07
11-08,11,8,0.0,0.0,0.03050001647,0.005100002754000001,0.010200005508000001,0.0,0.017800009611999998,0.022900012366000002,0.053300028782,0.027900015065999997,0.022900012366000002,0.073700039798,0.00250000135,0.03300001782,0.010200005508000001,0.0,0.0,0.003800002052,0.020666677826666664,0.017800009611999998,0.029200015768,0.045180024397199994,0.073700039798,2023-11-08
11-09,11,9,0.0,0.0,0.03050001647,0.005100002754000001,0.0,0.0,0.017800009611999998,0.022900012366000002,0.053300028782,0.035600019223999996,0.022900012366000002,0.08130004390199999,0.00250000135,0.038100020574,0.010200005508000001,0.0,0.0,0.001250000675,0.021346678193866667,0.017800009611999998,0.033050017847,0.04722002549879999,0.08130004390199999,2023-11-09
11-10,11,10,0.0,0.038100020574,0.03050001647,0.005100002754000001,0.005100002754000001,0.0,0.017800009611999998,0.022900012366000002,0.053300028782,0.038100020574,0.03050001647,0.08380004525200001,0.00250000135,0.038100020574,0.010200005508000001,0.0,0.0010000005400000002,0.005100002754000001,0.025066680202666666,0.022900012366000002,0.038100020574,0.04722002549879999,0.08380004525200001,2023-11-10
11-11,11,11,0.0,0.045700024677999995,0.027900015065999997,0.005100002754000001,0.020300010961999997,0.0,0.017800009611999998,0.022900012366000002,0.053300028782,0.038100020574,0.035600019223999996,0.08380004525200001,0.00250000135,0.038100020574,0.015200008207999998,0.0,0.0010000005400000002,0.010150005481,0.027086681293466672,0.022900012366000002,0.038100020574,0.050260027140399996,0.08380004525200001,2023-11-11
11-12,11,12,0.0,0.048300026082,0.027900015065999997,0.005100002754000001,0.020300010961999997,0.0,0.017800009611999998,0.035600019223999996,0.053300028782,0.045700024677999995,0.035600019223999996,0.08380004525200001,0.00250000135,0.038100020574,0.015200008207999998,0.0,0.0010000005400000002,0.010150005481,0.02861334878453333,0.027900015065999997,0.041900022626,0.051300027702,0.08380004525200001,2023-11-12
11-13,11,13,0.0,0.053300028782,0.027900015065999997,0.005100002754000001,0.020300010961999997,0.0,0.017800009611999998,0.035600019223999996,0.053300028782,0.045700024677999995,0.035600019223999996,0.08380004525200001,0.005100002754000001,0.045700024677999995,0.015200008207999998,0.0,0.002040001101600001,0.010150005481,0.029626682665066666,0.027900015065999997,0.045700024677999995,0.053300028782,0.08380004525200001,2023-11-13
11-14,11,14,0.0,0.06100003294,0.027900015065999997,0.027900015065999997,0.020300010961999997,0.0,0.017800009611999998,0.035600019223999996,0.053300028782,0.053300028782,0.035600019223999996,0.08380004525200001,0.005100002754000001,0.045700024677999995,0.015200008207999998,0.0,0.002040001101600001,0.01650000891,0.03216668403666667,0.027900015065999997,0.049500026729999994,0.057920031276799996,0.08380004525200001,2023-11-14
11-15,11,15,0.0,0.06100003294,0.027900015065999997,0.027900015065999997,0.020300010961999997,0.0,0.017800009611999998,0.035600019223999996,0.053300028782,0.06350003429000001,0.035600019223999996,0.08380004525200001,0.007600004103999999,0.045700024677999995,0.015200008207999998,0.0,0.0030400016416000006,0.01650000891,0.03301335116053333,0.027900015065999997,0.049500026729999994,0.06250003375,0.08380004525200001,2023-11-15
11-16,11,16,0.0,0.06100003294,0.03050001647,0.027900015065999997,0.020300010961999997,0.0,0.017800009611999998,0.035600019223999996,0.053300028782,0.06600003564,0.035600019223999996,0.08380004525200001,0.007600004103999999,0.045700024677999995,0.015200008207999998,0.0,0.0030400016416000006,0.01650000891,0.033353351344133336,0.03050001647,0.049500026729999994,0.06400003455999999,0.08380004525200001,2023-11-16
11-17,11,17,0.0,0.06100003294,0.045700024677999995,0.027900015065999997,0.027900015065999997,0.0,0.025400013716,0.035600019223999996,0.053300028782,0.06600003564,0.035600019223999996,0.08380004525200001,0.015200008207999998,0.045700024677999995,0.022900012366000002,0.0,0.006080003283200001,0.024150013041,0.036400019656,0.035600019223999996,0.049500026729999994,0.06400003455999999,0.08380004525200001,2023-11-17
11-18,11,18,0.0,0.06600003564,0.045700024677999995,0.027900015065999997,0.027900015065999997,0.010200005508000001,0.07110003839399999,0.045700024677999995,0.053300028782,0.06600003564,0.035600019223999996,0.08380004525200001,0.015200008207999998,0.048300026082,0.03050001647,0.0,0.012200006588,0.027900015065999997,0.04181335591253334,0.045700024677999995,0.059650032211,0.06906003729239998,0.08380004525200001,2023-11-18
11-19,11,19,0.0,0.068600037044,0.045700024677999995,0.03300001782,0.03050001647,0.010200005508000001,0.07110003839399999,0.045700024677999995,0.053300028782,0.07110003839399999,0.035600019223999996,0.08380004525200001,0.020300010961999997,0.048300026082,0.03300001782,0.0,0.014240007689600001,0.031750017145,0.04334669007386666,0.045700024677999995,0.060950032912999996,0.07110003839399999,0.08380004525200001,2023-11-19
11-20,11,20,0.0,0.068600037044,0.045700024677999995,0.03300001782,0.03050001647,0.010200005508000001,0.07110003839399999,0.045700024677999995,0.053300028782,0.068600037044,0.045700024677999995,0.08380004525200001,0.025400013716,0.048300026082,0.03300001782,0.0,0.016280008791200003,0.031750017145,0.044193357197733325,0.045700024677999995,0.060950032912999996,0.070100037854,0.08380004525200001,2023-11-20
11-21,11,21,0.0,0.068600037044,0.045700024677999995,0.03300001782,0.035600019223999996,0.010200005508000001,0.07110003839399999,0.045700024677999995,0.06100003294,0.06600003564,0.045700024677999995,0.08380004525200001,0.025400013716,0.053300028782,0.03300001782,0.0,0.016280008791200003,0.03300001782,0.045206691078266664,0.045700024677999995,0.06350003429,0.070100037854,0.08380004525200001,2023-11-21
11-22,11,22,0.0,0.06600003564,0.053300028782,0.03300001782,0.035600019223999996,0.020300010961999997,0.07110003839399999,0.045700024677999995,0.06350003429000001,0.06600003564,0.045700024677999995,0.08380004525200001,0.027900015065999997,0.053300028782,0.03300001782,0.0,0.023340012603599997,0.03300001782,0.046546691801866664,0.045700024677999995,0.06475003496500001,0.06906003729239998,0.08380004525200001,2023-11-22
11-23,11,23,0.0,0.06600003564,0.053300028782,0.058400031536,0.035600019223999996,0.025400013716,0.07110003839399999,0.048300026082,0.06350003429000001,0.06600003564,0.045700024677999995,0.08380004525200001,0.027900015065999997,0.050800027432,0.03300001782,0.0,0.026400014256,0.034300018522,0.04858669290346666,0.050800027432,0.06475003496500001,0.06906003729239998,0.08380004525200001,2023-11-23
11-24,11,24,0.0,0.06600003564,0.053300028782,0.07110003839399999,0.035600019223999996,0.035600019223999996,0.07110003839399999,0.058400031536,0.06350003429000001,0.06600003564,0.045700024677999995,0.09910005351399999,0.027900015065999997,0.050800027432,0.03300001782,0.0,0.0299400161676,0.035600019223999996,0.05180669464226666,0.053300028782,0.06600003564,0.07110003839399999,0.09910005351399999,2023-11-24
11-25,11,25,0.0,0.06600003564,0.053300028782,0.07110003839399999,0.035600019223999996,0.035600019223999996,0.07110003839399999,0.08130004390199999,0.06350003429000001,0.06600003564,0.050800027432,0.09910005351399999,0.03050001647,0.053300028782,0.038100020574,0.0,0.0325400175716,0.036850019899,0.05435336268413333,0.053300028782,0.06855003701699999,0.0772200416988,0.09910005351399999,2023-11-25
11-26,11,26,0.0,0.06600003564,0.053300028782,0.08380004525200001,0.045700024677999995,0.035600019223999996,0.07110003839399999,0.08130004390199999,0.07110003839399999,0.068600037044,0.050800027432,0.09910005351399999,0.03050001647,0.055900030186,0.038100020574,0.0,0.0325400175716,0.041900022626,0.05672669729906666,0.055900030186,0.07110003839399999,0.082800044712,0.09910005351399999,2023-11-26
11-27,11,27,0.0,0.06600003564,0.053300028782,0.08380004525200001,0.045700024677999995,0.038100020574,0.07110003839399999,0.08130004390199999,0.073700039798,0.068600037044,0.050800027432,0.09910005351399999,0.03050001647,0.068600037044,0.040600021923999995,0.0,0.0335400181116,0.043150023301,0.05808003136319999,0.06600003564,0.07240003909599999,0.082800044712,0.09910005351399999,2023-11-27
11-28,11,28,0.0,0.06600003564,0.053300028782,0.08380004525200001,0.045700024677999995,0.045700024677999995,0.073700039798,0.08130004390199999,0.09140004935599999,0.068600037044,0.050800027432,0.09910005351399999,0.035600019223999996,0.068600037044,0.040600021923999995,0.0,0.037600020304,0.045700024677999995,0.06028003255119999,0.06600003564,0.07750004184999999,0.0883600477144,0.09910005351399999,2023-11-28
11-29,11,29,0.0,0.06600003564,0.053300028782,0.08380004525200001,0.048300026082,0.073700039798,0.073700039798,0.086400046656,0.109200058968,0.068600037044,0.050800027432,0.106700057618,0.035600019223999996,0.068600037044,0.040600021923999995,0.0,0.037600020304,0.049550026757,0.06435336808413333,0.068600037044,0.07875004252500001,0.09858005323319999,0.109200058968,2023-11-29
11-30,11,30,0.0,0.06600003564,0.053300028782,0.08380004525200001,0.048300026082,0.073700039798,0.073700039798,0.09650005211,0.13210007133399998,0.068600037044,0.050800027432,0.111800060372,0.035600019223999996,0.068600037044,0.040600021923999995,0.0,0.037600020304,0.049550026757,0.06689336945573333,0.068600037044,0.07875004252500001,0.1056800570672,0.13210007133399998,2023-11-30
12-01,12,1,0.0,0.06600003564,0.053300028782,0.08380004525200001,0.048300026082,0.076200041148,0.073700039798,0.111800060372,0.13210007133399998,0.068600037044,0.050800027432,0.111800060372,0.035600019223999996,0.068600037044,0.045700024677999995,0.0,0.039640021405599996,0.049550026757,0.06842003694679999,0.068600037044,0.08000004320000001,0.111800060372,0.13210007133399998,2023-12-01
