M-D,M,D,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-31,10,31,0.0,0.0,0.007600004103999999,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.012700006858,0.005100002754000001,0.0,0.0,0.0,0.002822223746222222,0.0,0.0038250020655000005,0.010950005913000002,0.015200008207999998,2023-10-31
11-01,11,1,0.0,0.0,0.005100002754000001,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.012700006858,0.005100002754000001,0.0,0.0,0.0,0.002683334782333334,0.0,0.0038250020655000005,0.010950005913000002,0.015200008207999998,2023-11-01
11-02,11,2,0.0,0.0,0.010200005508000001,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.002544445818444445,0.0,0.0,0.010200005508000001,0.015200008207999998,2023-11-02
11-03,11,3,0.0,0.0,0.010200005508000001,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.002405556854555556,0.0,0.0,0.010200005508000001,0.012700006858,2023-11-03
11-04,11,4,0.0,0.0,0.010200005508000001,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.015200008207999998,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.002822223746222222,0.0,0.005700003077999999,0.010200005508000001,0.015200008207999998,2023-11-04
11-05,11,5,0.0,0.0,0.007600004103999999,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.00250000135,0.0,0.010200005508000001,0.0,0.0,0.015200008207999998,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.002961112710111111,0.0,0.0063250034155,0.010200005508000001,0.015200008207999998,2023-11-05
11-06,11,6,0.0,0.0,0.007600004103999999,0.020300010961999997,0.0,0.012700006858,0.0,0.0,0.0,0.010200005508000001,0.0,0.010200005508000001,0.0,0.0,0.020300010961999997,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.004938891555888889,0.0,0.009550005157,0.014980008089200005,0.020300010961999997,2023-11-06
11-07,11,7,0.0,0.0,0.007600004103999999,0.020300010961999997,0.0,0.012700006858,0.0,0.0,0.0,0.010200005508000001,0.0,0.010200005508000001,0.0,0.0,0.022900012366000002,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.005083336078333334,0.0,0.009550005157,0.014980008089200005,0.022900012366000002,2023-11-07
11-08,11,8,0.0,0.0,0.007600004103999999,0.025400013716,0.0,0.005100002754000001,0.0,0.0,0.0,0.007600004103999999,0.0,0.010200005508000001,0.007600004103999999,0.0,0.022900012366000002,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.005222225042222222,0.0,0.007600004103999999,0.01401000756540001,0.025400013716,2023-11-08
11-09,11,9,0.0,0.0,0.020300010961999997,0.025400013716,0.0,0.0,0.0,0.0,0.0,0.007600004103999999,0.0,0.010200005508000001,0.012700006858,0.0,0.022900012366000002,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.005927780978777778,0.0,0.009550005157,0.021080011383200002,0.025400013716,2023-11-09
11-10,11,10,0.0,0.0,0.020300010961999997,0.025400013716,0.03300001782,0.0,0.0,0.010200005508000001,0.0,0.010200005508000001,0.0,0.010200005508000001,0.015200008207999998,0.0,0.022900012366000002,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.00861111576111111,0.0038000020519999996,0.013950007532999999,0.023650012771000005,0.03300001782,2023-11-10
11-11,11,11,0.0,0.0,0.020300010961999997,0.025400013716,0.03300001782,0.0,0.0,0.010200005508000001,0.0,0.010200005508000001,0.0,0.010200005508000001,0.015200008207999998,0.0,0.022900012366000002,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.00861111576111111,0.0038000020519999996,0.013950007532999999,0.023650012771000005,0.03300001782,2023-11-11
11-12,11,12,0.0,0.0,0.020300010961999997,0.025400013716,0.03300001782,0.0,0.0,0.020300010961999997,0.0,0.010200005508000001,0.0,0.010200005508000001,0.020300010961999997,0.0,0.022900012366000002,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.009455560661555555,0.0038000020519999996,0.020300010961999997,0.023650012771000005,0.03300001782,2023-11-12
11-13,11,13,0.0,0.0,0.020300010961999997,0.025400013716,0.03300001782,0.0,0.005100002754000001,0.020300010961999997,0.0,0.010200005508000001,0.0,0.010200005508000001,0.020300010961999997,0.0,0.022900012366000002,0.0,0.0,0.0,0.0,0.0,0.0,0.009316671697666666,0.0025500013770000003,0.020300010961999997,0.023650012771000005,0.03300001782,2023-11-13
