M-D,M,D,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
11-05,11,5,0.035600019223999996,0.00250000135,0.0,0.012700006858,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.0,0.050800027432,0.0,0.025400013716,0.0,0.0,0.0,0.0,0.008256254458375,0.0,0.007000003780000001,0.03050001647,0.050800027432,2023-11-05
11-06,11,6,0.038100020574,0.00250000135,0.0,0.012700006858,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.0,0.06600003564,0.0,0.03050001647,0.0,0.0,0.0,0.0,0.00983750531225,0.0,0.0088750047925,0.034300018522,0.06600003564,2023-11-06
11-07,11,7,0.038100020574,0.00250000135,0.0,0.012700006858,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.068600037044,0.0,0.03050001647,0.0,0.0,0.0,0.0,0.01016250548775,0.0,0.010825005845500002,0.034300018522,0.068600037044,2023-11-07
11-08,11,8,0.043200023328,0.00250000135,0.0,0.012700006858,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.068600037044,0.007600004103999999,0.03050001647,0.0,0.0,0.0,0.0,0.010956255916375,0.0,0.010825005845500002,0.036850019899,0.068600037044,2023-11-08
11-09,11,9,0.043200023328,0.00250000135,0.0,0.010200005508000001,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.0,0.068600037044,0.005100002754000001,0.035600019223999996,0.0,0.0,0.0,0.0,0.01096250591975,0.0,0.010200005508000001,0.039400021275999994,0.068600037044,2023-11-09
11-10,11,10,0.043200023328,0.00250000135,0.027900015065999997,0.010200005508000001,0.0,0.010200005508000001,0.0,0.010200005508000001,0.0,0.0,0.0,0.010200005508000001,0.073700039798,0.005100002754000001,0.035600019223999996,0.0,0.0,0.0,0.0,0.014300007722000001,0.007650004131000001,0.0146250078975,0.039400021275999994,0.073700039798,2023-11-10
11-11,11,11,0.045700024677999995,0.00250000135,0.03300001782,0.007600004103999999,0.0,0.025400013716,0.0,0.007600004103999999,0.0,0.0,0.0,0.012700006858,0.073700039798,0.00250000135,0.040600021923999995,0.0,0.0,0.0,0.0,0.015706258481374996,0.005050002727,0.027300014742,0.043150023301,0.073700039798,2023-11-11
11-12,11,12,0.045700024677999995,0.00250000135,0.03300001782,0.007600004103999999,0.0,0.03050001647,0.0,0.007600004103999999,0.0,0.0,0.007600004103999999,0.012700006858,0.073700039798,0.00250000135,0.040600021923999995,0.0,0.0,0.0,0.0,0.01650000891,0.007600004103999999,0.0311250168075,0.043150023301,0.073700039798,2023-11-12
11-13,11,13,0.045700024677999995,0.010200005508000001,0.035600019223999996,0.007600004103999999,0.0,0.03050001647,0.0,0.007600004103999999,0.0,0.0,0.007600004103999999,0.010200005508000001,0.073700039798,0.0,0.043200023328,0.0,0.0,0.0,0.0,0.016993759176624997,0.007600004103999999,0.0317750171585,0.044450024002999994,0.073700039798,2023-11-13
11-14,11,14,0.045700024677999995,0.010200005508000001,0.035600019223999996,0.007600004103999999,0.010200005508000001,0.03050001647,0.0,0.007600004103999999,0.0,0.0,0.015200008207999998,0.007600004103999999,0.073700039798,0.0,0.043200023328,0.0,0.0,0.0,0.0,0.017943759689625,0.008900004806,0.0317750171585,0.044450024002999994,0.073700039798,2023-11-14
11-15,11,15,0.045700024677999995,0.007600004103999999,0.035600019223999996,0.0,0.012700006858,0.03050001647,0.0,0.007600004103999999,0.0,0.0,0.027900015065999997,0.007600004103999999,0.073700039798,0.0,0.043200023328,0.0,0.0,0.0,0.0,0.018256259858375,0.007600004103999999,0.0317750171585,0.044450024002999994,0.073700039798,2023-11-15
11-16,11,16,0.055900030186,0.005100002754000001,0.035600019223999996,0.005100002754000001,0.017800009611999998,0.03050001647,0.0,0.005100002754000001,0.0,0.0,0.027900015065999997,0.007600004103999999,0.073700039798,0.0,0.043200023328,0.0,0.0,0.0,0.0,0.019218760378124998,0.006350003429,0.0317750171585,0.049550026757,0.073700039798,2023-11-16
11-17,11,17,0.055900030186,0.00250000135,0.035600019223999996,0.012700006858,0.017800009611999998,0.06350003429000001,0.0,0.005100002754000001,0.0,0.0,0.027900015065999997,0.007600004103999999,0.073700039798,0.010200005508000001,0.045700024677999995,0.010200005508000001,0.0,0.0,0.004450002403,0.0230250124335,0.011450006183000001,0.038125020587499996,0.05970003223800001,0.073700039798,2023-11-17
11-18,11,18,0.055900030186,0.00250000135,0.038100020574,0.015200008207999998,0.017800009611999998,0.06350003429000001,0.007600004103999999,0.040600021923999995,0.0,0.0,0.027900015065999997,0.010200005508000001,0.073700039798,0.010200005508000001,0.048300026082,0.015200008207999998,0.0,0.001250000675,0.009550005157,0.026668764401125,0.01650000891,0.0425250229635,0.05970003223800001,0.073700039798,2023-11-18
11-19,11,19,0.055900030186,0.020300010961999997,0.040600021923999995,0.015200008207999998,0.017800009611999998,0.06350003429000001,0.007600004103999999,0.040600021923999995,0.0,0.0,0.03300001782,0.010200005508000001,0.078700042498,0.012700006858,0.048300026082,0.015200008207999998,0.0,0.0038000020519999996,0.0120750065205,0.0287250155115,0.019050010287,0.0425250229635,0.05970003223800001,0.078700042498,2023-11-19
