M-D,M,D,1980_SWE_in,1981_SWE_in,1982_SWE_in,1983_SWE_in,1984_SWE_in,1985_SWE_in,1986_SWE_in,1987_SWE_in,1988_SWE_in,1989_SWE_in,1990_SWE_in,1991_SWE_in,1992_SWE_in,1993_SWE_in,1994_SWE_in,1995_SWE_in,1996_SWE_in,1997_SWE_in,1998_SWE_in,1999_SWE_in,2000_SWE_in,2001_SWE_in,2002_SWE_in,2003_SWE_in,2004_SWE_in,2005_SWE_in,2006_SWE_in,2007_SWE_in,2008_SWE_in,2009_SWE_in,2010_SWE_in,2011_SWE_in,2012_SWE_in,2013_SWE_in,2014_SWE_in,2015_SWE_in,2016_SWE_in,2017_SWE_in,2018_SWE_in,2019_SWE_in,2020_SWE_in,2021_SWE_in,2022_SWE_in,2023_SWE_in,2024_SWE_in,2025_SWE_in,2026_SWE_in,min,Q10,Q25,mean,median,Q75,Q90,max,date
10-11,10,11,0.0,0.0,0.043200023328,0.038100020574,0.0,0.0,0.012700006858,0.078700042498,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.048300026082,0.0,0.0,0.015200008207999998,0.0,0.0,0.03300001782,0.0,0.010200005508000001,0.0,0.0,0.0,0.027900015065999997,0.010200005508000001,0.0,0.015200008207999998,0.012700006858,0.08130004390199999,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.027900015065999997,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.007600004103999999,0.0,0.0,0.0,0.011023410207957444,0.0,0.015200008207999998,0.03504001892159999,0.08130004390199999,2023-10-11
10-12,10,12,0.0,0.0,0.06350003429000001,0.038100020574,0.0,0.012700006858,0.017800009611999998,0.076200041148,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.045700024677999995,0.0,0.0,0.015200008207999998,0.0,0.0,0.050800027432,0.00250000135,0.010200005508000001,0.0,0.0,0.0,0.027900015065999997,0.005100002754000001,0.005100002754000001,0.017800009611999998,0.007600004103999999,0.078700042498,0.0,0.015200008207999998,0.0,0.0,0.0,0.0,0.03300001782,0.0,0.0,0.017800009611999998,0.0,0.0,0.0,0.005100002754000001,0.0,0.0,0.0,0.012104261855446809,0.0,0.01650000891,0.04114002221559999,0.078700042498,2023-10-12
10-13,10,13,0.0,0.007600004103999999,0.06600003564,0.038100020574,0.0,0.012700006858,0.022900012366000002,0.076200041148,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.045700024677999995,0.0,0.0,0.015200008207999998,0.0,0.0,0.048300026082,0.0,0.010200005508000001,0.0,0.0,0.0,0.027900015065999997,0.0,0.012700006858,0.017800009611999998,0.0,0.073700039798,0.005100002754000001,0.015200008207999998,0.007600004103999999,0.0,0.0,0.0,0.03300001782,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.03300001782,0.0,0.0,0.0,0.01313192198485106,0.0,0.020350010989,0.04114002221559999,0.076200041148,2023-10-13
10-14,10,14,0.0,0.012700006858,0.076200041148,0.038100020574,0.0,0.06350003429000001,0.022900012366000002,0.076200041148,0.0,0.0,0.0,0.0,0.0,0.0,0.022900012366000002,0.045700024677999995,0.0,0.0,0.017800009611999998,0.0,0.0,0.045700024677999995,0.0,0.010200005508000001,0.0,0.0,0.0,0.03050001647,0.0,0.012700006858,0.022900012366000002,0.0,0.068600037044,0.00250000135,0.027900015065999997,0.005100002754000001,0.0,0.0,0.0,0.035600019223999996,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.0,0.014325539650680853,0.0,0.022900012366000002,0.045700024677999995,0.076200041148,2023-10-14
10-15,10,15,0.0,0.027900015065999997,0.076200041148,0.038100020574,0.0,0.068600037044,0.027900015065999997,0.076200041148,0.0,0.0,0.0,0.0,0.0,0.0,0.027900015065999997,0.045700024677999995,0.0,0.0,0.035600019223999996,0.0,0.0,0.045700024677999995,0.0,0.010200005508000001,0.0,0.0,0.0,0.03050001647,0.0,0.012700006858,0.03050001647,0.0,0.06100003294,0.0,0.03050001647,0.00250000135,0.0,0.0,0.005100002754000001,0.038100020574,0.0,0.0,0.025400013716,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.0,0.015563838191702126,0.0,0.029200015768,0.045700024677999995,0.076200041148,2023-10-15
10-16,10,16,0.0,0.038100020574,0.086400046656,0.038100020574,0.0,0.068600037044,0.027900015065999997,0.076200041148,0.0,0.0,0.0,0.0,0.0,0.0,0.038100020574,0.053300028782,0.0,0.0,0.035600019223999996,0.005100002754000001,0.0,0.045700024677999995,0.0,0.010200005508000001,0.0,0.0,0.0,0.03050001647,0.0,0.012700006858,0.027900015065999997,0.0,0.053300028782,0.0,0.03050001647,0.0,0.0,0.0,0.005100002754000001,0.038100020574,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.022900012366000002,0.0,0.0,0.0,0.016429796106127666,0.0,0.03050001647,0.048740026319599984,0.086400046656,2023-10-16
10-17,10,17,0.0,0.040600021923999995,0.09140004935599999,0.038100020574,0.0,0.068600037044,0.027900015065999997,0.076200041148,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.038100020574,0.055900030186,0.0,0.0,0.020300010961999997,0.007600004103999999,0.0,0.045700024677999995,0.0,0.007600004103999999,0.0,0.0,0.0,0.03050001647,0.005100002754000001,0.012700006858,0.022900012366000002,0.0,0.053300028782,0.0,0.03050001647,0.0,0.0,0.0,0.00250000135,0.038100020574,0.0,0.0,0.027900015065999997,0.0,0.0,0.0,0.043200023328,0.0,0.0,0.0,0.016912775090340428,0.0,0.03050001647,0.048740026319599984,0.09140004935599999,2023-10-17
10-18,10,18,0.0,0.038100020574,0.088900048006,0.038100020574,0.0,0.08380004525200001,0.027900015065999997,0.076200041148,0.0,0.0,0.0,0.010200005508000001,0.0,0.0,0.038100020574,0.06350003429000001,0.0,0.0,0.010200005508000001,0.010200005508000001,0.0,0.043200023328,0.0,0.007600004103999999,0.0,0.00250000135,0.0,0.03050001647,0.007600004103999999,0.005100002754000001,0.015200008207999998,0.0,0.050800027432,0.0,0.03300001782,0.0,0.0,0.010200005508000001,0.0,0.040600021923999995,0.0,0.0,0.03050001647,0.0,0.0,0.022900012366000002,0.043200023328,0.0,0.0,0.0,0.01761915845051064,0.005100002754000001,0.031750017145,0.04624002496959999,0.088900048006,2023-10-18
10-19,10,19,0.0,0.035600019223999996,0.088900048006,0.048300026082,0.0,0.08380004525200001,0.027900015065999997,0.076200041148,0.0,0.0,0.0,0.012700006858,0.0,0.0,0.038100020574,0.068600037044,0.0,0.0,0.005100002754000001,0.010200005508000001,0.0,0.043200023328,0.0,0.007600004103999999,0.0,0.017800009611999998,0.0,0.035600019223999996,0.007600004103999999,0.0,0.007600004103999999,0.0,0.050800027432,0.0,0.03300001782,0.0,0.0,0.012700006858,0.0,0.045700024677999995,0.0,0.0,0.040600021923999995,0.0,0.0,0.027900015065999997,0.040600021923999995,0.0,0.0,0.0,0.018427669525404252,0.005100002754000001,0.035600019223999996,0.049300026622,0.088900048006,2023-10-19
10-20,10,20,0.0,0.035600019223999996,0.086400046656,0.048300026082,0.0,0.08380004525200001,0.027900015065999997,0.088900048006,0.0,0.0,0.0,0.015200008207999998,0.0,0.0,0.038100020574,0.068600037044,0.0,0.015200008207999998,0.0,0.010200005508000001,0.0,0.040600021923999995,0.0,0.007600004103999999,0.0,0.048300026082,0.0,0.035600019223999996,0.0,0.0,0.0,0.0,0.048300026082,0.0,0.03300001782,0.0,0.0,0.012700006858,0.0,0.045700024677999995,0.010200005508000001,0.0,0.048300026082,0.0,0.0,0.038100020574,0.040600021923999995,0.0,0.0,0.0,0.019727670227404258,0.0,0.038100020574,0.048300026082,0.088900048006,2023-10-20
